Z,X,Y,bank,eightpack,eightpack vertice idx
-0.227512,2.284766,0.521186,2,16,1
-0.256834,2.281164,-0.5235,2,16,3
-0.26039,2.281205,0.521133,2,16,2
-0.268518,2.279764,-0.523067,2,17,0
-0.272227,2.279768,0.521463,2,17,1
-0.301329,2.275635,-0.523258,2,17,3
-0.305026,2.27554,0.521391,2,17,2
-0.312841,2.274072,-0.52308,2,18,0
-0.31653,2.273947,0.521592,2,18,1
-0.345571,2.269334,-0.523169,2,18,3
-0.349268,2.269274,0.521407,2,18,2
-0.356997,2.267729,-0.522698,2,19,0
-0.360973,2.267451,0.521952,2,19,1
-0.389625,2.262335,-0.522846,2,19,3
-0.393604,2.262078,0.521799,2,19,2
-0.400986,2.260478,-0.522632,2,20,0
-0.405648,2.260214,0.521983,2,20,1
-0.433473,2.254303,-0.522625,2,20,3
-0.43813,2.253994,0.521932,2,20,2
-1.355977,1.561162,-0.521228,3,1,0
-1.356894,1.563059,0.52347,3,1,1
-1.330861,1.58271,-0.521264,3,1,3
-1.331794,1.584644,0.523414,3,1,2
-1.321889,1.590257,-0.521514,3,2,0
-1.322667,1.592005,0.523276,3,2,1
-1.296322,1.611267,-0.521546,3,2,3
-1.297053,1.612977,0.523224,3,2,2
-1.287418,1.61864,-0.521769,3,3,0
-1.288337,1.62035,0.523078,3,3,1
-1.261358,1.639037,-0.521796,3,3,3
-1.262256,1.640738,0.52303,3,3,2
-1.251692,1.646336,-0.521812,3,4,0
-1.252839,1.647616,0.522974,3,4,1
-1.22517,1.666128,-0.521829,3,4,3
-1.226415,1.667558,0.522936,3,4,2
-1.216136,1.672831,-0.52202,3,5,0
-1.216551,1.674445,0.522852,3,5,1
-1.189185,1.692034,-0.522058,3,5,3
-1.189621,1.693699,0.522793,3,5,2
-1.179619,1.698973,-0.522144,3,6,0
-1.180594,1.700404,0.522798,3,6,1
-1.152301,1.71765,-0.522162,3,6,3
-1.153278,1.719105,0.522759,3,6,2
-1.142588,1.724207,-0.522242,3,7,0
-1.143474,1.725588,0.522703,3,7,1
-1.114792,1.742165,-0.52226,3,7,3
-1.115672,1.743558,0.522665,3,7,2
-1.104934,1.748599,-0.522278,3,8,0
-1.105856,1.749844,0.522476,3,8,1
-1.076826,1.766065,-0.522292,3,8,3
-1.077751,1.767336,0.522441,3,8,2
-1.067025,1.772181,-0.522459,3,9,0
-1.067534,1.773697,0.522357,3,9,1
-1.038564,1.789065,-0.522484,3,9,3
-1.039001,1.790483,0.522312,3,9,2
-1.028362,1.794833,-0.522722,3,10,0
-1.02915,1.795792,0.52218,3,10,1
-0.999502,1.811028,-0.522738,3,10,3
-1.000358,1.81213,0.522145,3,10,2
-0.989343,1.81678,-0.522708,3,11,0
-0.99006,1.817822,0.522078,3,11,1
-0.960189,1.832438,-0.522721,3,11,3
-0.960881,1.833457,0.522046,3,11,2
-0.949562,1.837904,-0.522588,3,12,0
-0.950288,1.839048,0.5222,3,12,1
-0.920108,1.85299,-0.522599,3,12,3
-0.920775,1.854043,0.522169,3,12,2
-0.909796,1.858019,-0.522673,3,13,0
-0.910307,1.85896,0.522202,3,13,1
-0.87994,1.872292,-0.52269,3,13,3
-0.880459,1.873276,0.522165,3,13,2
-0.86922,1.87742,-0.52277,3,14,0
-0.869892,1.878362,0.522234,3,14,1
-0.83911,1.891148,-0.522781,3,14,3
-0.83977,1.892093,0.522203,3,14,2
-0.828537,1.895678,-0.522701,3,15,0
-0.828978,1.896617,0.522236,3,15,1
-0.798121,1.908716,-0.522719,3,15,3
-0.798562,1.909685,0.522199,3,15,2
-0.787142,1.913367,-0.522913,3,16,0
-0.78783,1.914307,0.52199,3,16,1
-0.756454,1.92575,-0.522921,3,16,3
-0.757125,1.92668,0.521962,3,16,2
-0.745843,1.929917,-0.522659,3,17,0
-0.746116,1.930691,0.522225,3,17,1
-0.71486,1.941544,-0.522676,3,17,3
-0.715105,1.942277,0.522188,3,17,2
-0.703682,1.945473,-0.522818,3,18,0
-0.704114,1.946496,0.522308,3,18,1
-0.672467,1.956463,-0.522836,3,18,3
-0.672915,1.957563,0.522271,3,18,2
-1.955113,0.673737,-0.523764,4,1,0
-1.953566,0.674749,0.521279,4,1,1
-1.944123,0.704951,-0.523824,4,1,3
-1.942441,0.705928,0.521199,4,1,2
-1.940038,0.715775,-0.523596,4,2,0
-1.938369,0.716745,0.521203,4,2,1
-1.928128,0.74665,-0.52366,4,2,3
-1.926394,0.747607,0.521119,4,2,2
-1.924079,0.757786,-0.523722,4,3,0
-1.922322,0.758654,0.521072,4,3,1
-1.911574,0.788425,-0.523786,4,3,3
-1.909802,0.7893,0.520988,4,3,2
-1.907307,0.799286,-0.523974,4,4,0
-1.905625,0.799865,0.520811,4,4,1
-1.894237,0.829688,-0.524029,4,4,3
-1.892539,0.830273,0.520736,4,4,2
-1.889262,0.840366,-0.524879,4,5,0
-1.88775,0.841084,0.520797,4,5,1
-1.875552,0.870485,-0.524933,4,5,3
-1.873887,0.871146,0.520719,4,5,2
-1.870905,0.881308,-0.524062,4,6,0
-1.869119,0.881985,0.520768,4,6,1
-1.856457,0.91108,-0.524123,4,6,3
-1.854658,0.911764,0.520687,4,6,2
-1.851243,0.921558,-0.524055,4,7,0
-1.849509,0.922035,0.520762,4,7,1
-1.836197,0.951032,-0.52411,4,7,3
-1.834389,0.951484,0.520688,4,7,2
-1.830911,0.961669,-0.524055,4,8,0
-1.829028,0.961839,0.520675,4,8,1
-1.815315,0.990856,-0.524104,4,8,3
-1.813384,0.991013,0.520606,4,8,2
-1.809659,1.001013,-0.524083,4,9,0
-1.807677,1.001212,0.520665,4,9,1
-1.793344,1.029805,-0.524138,4,9,3
-1.791359,1.030015,0.520591,4,9,2
-1.787648,1.04,-0.524091,4,10,0
-1.785552,1.040546,0.520682,4,10,1
-1.770682,1.068413,-0.524157,4,10,3
-1.768548,1.06895,0.520596,4,10,2
-1.764551,1.078557,-0.524184,4,11,0
-1.762732,1.078915,0.520678,4,11,1
