Location	X	Y	Z	Angle
D6	153.4480201	48.38976339	145.5125472	46.52047601
D7	146.5188489	48.38976339	152.4389023	43.86555961
D8	140.091459	48.38976339	158.3658291	41.49618627
D9	133.5905676	48.38976339	163.8859998	39.18496575
D10	126.5987599	48.38976339	169.3448322	36.78104403
D11	119.5184318	48.38976339	174.4148117	34.42104403
D12	112.234984	48.38976339	179.1884217	32.06104403
D13	104.7611456	48.38976339	183.658064	29.70104403
D14	95.70705578	48.38976339	188.5347225	26.914
D15	87.93082999	48.38976378	192.2880788	24.574
D16	80.02232864	48.38976378	195.7078298	22.239
D17	71.95145627	48.38976378	198.8179118	19.895
D18	63.75605681	48.38976378	201.5947789	17.55
D19	55.47184189	48.38976378	204.029549	15.21
D20	47.09519156	48.38976378	206.1242951	12.87
D21	38.79272903	48.38976378	207.8850394	10.5702
D22	30.85048205	48.38976378	209.2096105	8.3885
D23	22.24594834	48.38976378	210.2966445	6.0385
D24	13.60429067	48.38976378	211.0319506	3.6885
D25	4.939750401	48.38976378	211.412298	1.3385
D26	-3.733098599	48.38976378	211.4370471	-1.0115
D27	-17.8212111	48.38976378	210.6836171	-4.835
D28	-26.44503933	48.38976378	209.7756945	-7.185
D29	-35.02438664	48.38976378	208.5149262	-9.535
D30	-43.54482244	48.38976378	206.9034329	-11.885
D31	-51.99201525	48.38976378	204.9439251	-14.235
D32	-60.35185867	48.38976378	202.640041	-16.585
D33	-68.51599967	48.38976378	200.027718	-18.908
D34	-77.23632773	48.38976378	196.9017705	-21.418
D35	-85.23889127	48.38976378	193.5734618	-23.766
D36	-93.11424167	48.38976378	189.910386	-26.119
D37	-100.8552377	48.38976378	185.9147065	-28.479
E1	183.284299	99.4531	116.174667	56.731452
E2	178.349417	99.4531	123.617601	54.373385
E3	173.111041	99.4531	130.851656	52.014993
E4	167.583375	99.4531	137.861205	49.657834
E5	161.769356	99.4531	144.640187	47.299668
E6	155.681781	99.4531	151.173215	44.941776
E7	148.552435	99.4531	158.092905	42.317966
E8	141.920195	99.4531	164.07209	39.959373
E9	135.048478	99.4531	169.773448	37.600947
E10	127.946138	99.4531	175.18808	35.241996
E11	120.626928	99.4531	180.306392	32.882951
E12	113.105741	99.4531	185.117139	30.524743
E13	105.391271	99.4531	189.616136	28.165911
E14	96.418554	99.4531	194.33283	25.488384
E15	88.339214	99.4531	198.135663	23.129806
E16	80.111096	99.4531	201.603231	20.771393
E17	71.745248	99.4531	204.729581	18.412455
E18	63.257614	99.4531	207.509514	16.053423
E19	54.665704	99.4531	209.936575	13.695226
E20	45.979051	99.4531	212.009277	11.336405
E21	45.979051	99.4531	212.009277	11.336405
E22	27.447678	99.4531	215.205237	6.368369
E23	18.56624	99.4531	216.149793	4.009385
E24	9.658196	99.4531	216.729131	1.651609
E25	0.730019	99.4531	216.94138	-0.707198
E26	-8.198297	99.4531	216.785764	-3.065751
E27	-18.174786	99.4531	216.205893	-5.705123
E28	-27.055648	99.4531	215.27447	-8.063362
E29	-35.89014	99.4531	213.979195	-10.421436
E30	-44.665723	99.4531	212.320701	-12.780034
E31	-53.366069	99.4531	210.302795	-15.138729
E32	-61.972854	99.4531	207.929027	-17.496588
E33	-70.477155	99.4531	205.20306	-19.855075
E34	-79.53256	99.4531	201.851251	-22.405218
E35	-87.769205	99.4531	198.406506	-24.76319
E36	-95.871866	99.4531	194.620526	-27.125282
E37	-103.802578	99.4531	190.510767	-29.484404
