Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.30217	0.00000		2.64507		131.03500	350.66211
-2.13050	0.00000		2.78205		127.44500	350.41132
-1.95062	0.00000		2.90776		123.85500	350.14270
-1.76362	0.00000		3.02232		120.26500	349.92508
-1.56955	0.00000		3.12410		116.67500	349.62167
-1.37001	0.00000		3.21427		113.08500	349.40622
-1.16587	0.00000		3.29322		109.49500	349.35010
-0.95490	0.00000		3.35108		105.90500	348.44702
-0.74144	0.00000		3.39626		102.31500	347.62527
-0.52724	0.00000		3.43547		98.72500	347.56934
-0.31152	0.00000		3.46658		95.13500	348.05487
-0.09413	0.00000		3.49002		91.54500	349.12912
0.12491		0.00000		3.49826		87.95500	350.04904
0.34407		0.00000		3.48718		84.36500	350.41150
0.56158		0.00000		3.45774		80.77500	350.30432
0.77649		0.00000		3.41361		77.18500	350.08099
0.98896		0.00000		3.35910		73.59500	350.16559
1.19789		0.00000		3.29206		70.00500	350.32224
1.40234		0.00000		3.21212		66.41500	350.48880
1.60013		0.00000		3.11685		62.82500	350.35968
1.79144		0.00000		3.00935		59.23500	350.22104
1.97641		0.00000		2.89134		55.64500	350.22855
2.15385		0.00000		2.76226		52.05500	350.27295
2.31964		0.00000		2.61865		48.46500	349.82953
2.47813		0.00000		2.46734		44.87500	349.69785
2.63280		0.00000		2.31175		41.28500	350.36893
2.77258		0.00000		2.14251		37.69500	350.39291
2.89940		0.00000		1.96341		34.10500	350.16406
3.01495		0.00000		1.77701		30.51500	349.96722
3.12410		0.00000		1.58666		26.92500	350.39252
3.21744		0.00000		1.38798		23.33500	350.40521
3.29451		0.00000		1.18253		19.74500	350.03088
3.36312		0.00000		0.97421		16.15500	350.13791
3.41668		0.00000		0.76153		12.56500	350.05212
3.45647		0.00000		0.54591		8.97500		349.93185
3.48789		0.00000		0.32878		5.38500		350.33563
3.47632		0.00000		-0.32769	-5.38500	349.17352
3.45585		0.00000		-0.54581	-8.97500	349.86884
3.41375		0.00000		-0.76087	-12.56500	349.75153
3.35998		0.00000		-0.97330	-16.15500	349.81085
3.29314		0.00000		-1.18204	-19.74500	349.88580
3.21424		0.00000		-1.38660	-23.33500	350.05701
3.11597		0.00000		-1.58253	-26.92500	349.48019
3.00340		0.00000		-1.77020	-30.51500	348.62622
2.88175		0.00000		-1.95146	-34.10500	348.03256
2.74886		0.00000		-2.12418	-37.69500	347.39572
2.60825		0.00000		-2.29019	-41.28500	347.10147
2.46009		0.00000		-2.44938	-44.87500	347.15234
2.30131		0.00000		-2.59796	-48.46500	347.06549
2.12903		0.00000		-2.73043	-52.05500	346.23758
