Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.2959	0.000	2.6378	131.035	349.703
-2.1237	0.000	2.7732	127.445	349.298
-1.9440	0.000	2.8978	123.855	348.946
-1.7557	0.000	3.0087	120.265	348.354
-1.5641	0.000	3.1133	116.675	348.407
-1.3671	0.000	3.2074	113.085	348.655
-1.1639	0.000	3.2877	109.495	348.763
-0.9533	0.000	3.3455	105.905	347.868
-0.7403	0.000	3.3909	102.315	347.079
-0.5263	0.000	3.4296	98.725	346.977
-0.3110	0.000	3.4613	95.135	347.529
-0.0940	0.000	3.4843	91.545	348.555
0.1247	0.000	3.4933	87.955	349.556
0.3436	0.000	3.4823	84.365	349.916
0.5608	0.000	3.4531	80.775	349.837
0.7755	0.000	3.4092	77.185	349.624
0.9877	0.000	3.3547	73.595	349.707
1.1964	0.000	3.2879	70.005	349.875
1.4004	0.000	3.2077	66.415	350.011
1.5980	0.000	3.1126	62.825	349.885
1.7889	0.000	3.0051	59.235	349.731
1.9738	0.000	2.8875	55.645	349.766
2.1509	0.000	2.7585	52.055	349.799
2.3164	0.000	2.6150	48.465	349.348
2.4746	0.000	2.4638	44.875	349.193
2.6290	0.000	2.3085	41.285	349.87
2.7682	0.000	2.1392	37.695	349.845
2.8946	0.000	1.9602	34.105	349.584
3.0100	0.000	1.7741	30.515	349.392
3.1189	0.000	1.5840	26.925	349.804
3.2119	0.000	1.3856	23.335	349.802
3.2877	0.000	1.1801	19.745	349.305
3.3572	0.000	0.9725	16.155	349.525
3.4102	0.000	0.7601	12.565	349.389
3.4490	0.000	0.5447	8.975	349.174
3.4749	0.000	0.3276	5.385	349.028
3.4706	0.000	-0.3272	-5.385	348.599
3.4486	0.000	-0.5447	-8.975	349.134
3.4071	0.000	-0.7594	-12.565	349.067
3.3533	0.000	-0.9714	-16.155	349.117
3.2863	0.000	-1.1796	-19.745	349.155
3.2070	0.000	-1.3835	-23.335	349.268
3.1087	0.000	-1.5788	-26.925	348.66
2.9963	0.000	-1.7660	-30.515	347.803
2.8748	0.000	-1.9467	-34.105	347.188
2.7417	0.000	-2.1186	-37.695	346.491
2.6017	0.000	-2.2844	-41.285	346.226
2.4534	0.000	-2.4427	-44.875	346.203
2.2911	0.000	-2.5865	-48.465	345.528
2.1227	0.000	-2.7223	-52.055	345.21
