Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.27917	0	2.61865	131.035	347.159
-2.11421	0	2.76078	127.445	347.732
-1.93657	0	2.88682	123.855	347.621
-1.75551	0	3.00841	120.265	348.315
-1.56337	0	3.1118	116.675	348.245
-1.36634	0	3.20565	113.085	348.469
-1.16334	0	3.28608	109.495	348.592
-0.952742	0	3.34352	105.905	347.661
-0.739838	0	3.38894	102.315	346.876
-0.52599	0	3.42736	98.725	346.748
-0.310832	0	3.45894	95.135	347.288
-0.093911	0	3.48182	91.545	348.308
0.124639	0	3.4906	87.955	349.282
0.343287	0	3.47923	84.365	349.612
0.560356	0	3.4502	80.775	349.541
0.774882	0	3.40653	77.185	349.354
0.986891	0	3.35209	73.595	349.435
1.19543	0	3.2853	70.005	349.603
1.39927	0	3.20508	66.415	349.721
1.59679	0	3.11035	62.825	349.628
1.7879	0	3.0034	59.235	349.528
1.97251	0	2.88564	55.645	349.538
2.1496	0	2.75681	52.055	349.582
2.31524	0	2.61368	48.465	349.166
2.4734	0	2.46263	44.875	349.031
2.62793	0	2.30747	41.285	349.72
2.76729	0	2.13842	37.695	349.724
2.89385	0	1.95965	34.105	349.494
3.00936	0	1.77371	30.515	349.318
3.11837	0	1.58375	26.925	349.75
3.21146	0	1.3854	23.335	349.754
3.28838	0	1.18032	19.745	349.379
3.3573	0	0.972527	16.155	349.532
3.41154	0	0.760383	12.565	349.526
3.45081	0	0.545012	8.975	349.359
3.47919	0	0.327961	5.385	349.461
3.47289	0	-0.327368	-5.385	348.829
3.4503	0	-0.544931	-8.975	349.307
3.4095	0	-0.759928	-12.565	349.317
3.35565	0	-0.97205	-16.155	349.361
3.289	0	-1.18055	-19.745	349.446
3.20988	0	-1.38472	-23.335	349.582
3.11191	0	-1.58047	-26.925	349.025
2.99981	0	-1.76808	-30.515	348.21
2.87836	0	-1.94916	-34.105	347.623
2.7458	0	-2.12181	-37.695	347.009
2.60504	0	-2.28737	-41.285	346.674
2.45733	0	-2.44663	-44.875	346.764
2.29857	0	-2.59486	-48.465	346.651
2.12623	0	-2.72685	-52.055	345.783
