Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.300940	0.000000	2.643664	131.035	350.475
-2.131202	0.000000	2.782963	127.445	350.527
-1.951556	0.000000	2.909155	123.855	350.311
-1.764605	0.000000	3.023999	120.265	350.120
-1.570341	0.000000	3.125672	116.675	349.797
-1.370713	0.000000	3.215923	113.085	349.586
-1.166492	0.000000	3.294986	109.495	349.537
-0.955416	0.000000	3.352905	105.905	348.637
-0.741962	0.000000	3.398668	102.315	347.871
-0.527588	0.000000	3.437772	98.725	347.802
-0.311742	0.000000	3.469065	95.135	348.304
-0.094191	0.000000	3.492196	91.545	349.347
0.125000	0.000000	3.500710	87.955	350.294
0.344311	0.000000	3.489598	84.365	350.654
0.561944	0.000000	3.459984	80.775	350.532
0.777073	0.000000	3.416158	77.185	350.342
0.989671	0.000000	3.361530	73.595	350.419
1.198760	0.000000	3.294459	70.005	350.578
1.403169	0.000000	3.214020	66.415	350.697
1.601079	0.000000	3.118709	62.825	350.568
1.792447	0.000000	3.011038	59.235	350.417
1.977619	0.000000	2.893112	55.645	350.444
2.154909	0.000000	2.763622	52.055	350.446
2.320812	0.000000	2.619974	48.465	350.006
2.479289	0.000000	2.468495	44.875	349.862
2.633778	0.000000	2.312609	41.285	350.499
2.773367	0.000000	2.143115	37.695	350.493
2.899851	0.000000	1.963716	34.105	350.219
3.015467	0.000000	1.777309	30.515	350.027
3.124444	0.000000	1.586835	26.925	350.431
3.217595	0.000000	1.388046	23.335	350.422
3.294567	0.000000	1.182546	19.745	350.037
3.363047	0.000000	0.974192	16.155	350.130
3.416444	0.000000	0.761475	12.565	350.028
3.453717	0.000000	0.545470	8.975	349.653
3.483344	0.000000	0.328353	5.385	349.879
3.478399	0.000000	-0.327887	-5.385	349.382
3.454844	0.000000	-0.545648	-8.975	349.767
3.413432	0.000000	-0.760803	-12.565	349.719
3.359242	0.000000	-0.973090	-16.155	349.734
3.292298	0.000000	-1.181732	-19.745	349.796
3.212946	0.000000	-1.386040	-23.335	349.916
3.114643	0.000000	-1.581858	-26.925	349.332
3.001884	0.000000	-1.769303	-30.515	348.450
2.880301	0.000000	-1.950477	-34.105	347.858
2.747244	0.000000	-2.122929	-37.695	347.191
2.605573	0.000000	-2.287843	-41.285	346.745
2.455882	0.000000	-2.445189	-44.875	346.559
2.299594	0.000000	-2.596021	-48.465	346.806
2.131809	0.000000	-2.733996	-52.055	346.689
