Bank_zpos	Bank_ypos	Bank_xpos	BankAngle	BankDistance
-2.29644	0	2.63849	131.03500	349.78952
-2.12633	0	2.77661	127.44500	349.72610
-1.94605	0	2.90095	123.85500	349.32230
-1.76289	0	3.02106	120.26500	349.78015
-1.56983	0	3.12465	116.67500	349.68286
-1.37173	0	3.21830	113.08500	349.84430
-1.16726	0	3.29715	109.49500	349.76669
-0.95828	0	3.36295	105.90500	349.68195
-0.74584	0	3.41642	102.31500	349.68890
-0.53051	0	3.45681	98.72500	349.72824
-0.31246	0	3.47705	95.13500	349.10590
-0.09428	0	3.49549	91.54500	349.67621
0.12483	0	3.49601	87.95500	349.82355
0.34363	0	3.48266	84.36500	349.95703
0.56073	0	3.45253	80.77500	349.77682
0.77573	0	3.41025	77.18500	349.73615
0.98768	0	3.35477	73.59500	349.71365
1.19630	0	3.28769	70.00500	349.85718
1.40004	0	3.20685	66.41500	349.91443
1.59725	0	3.11124	62.82500	349.72876
1.78821	0	3.00392	59.23500	349.58829
1.97413	0	2.88800	55.64500	349.82452
2.14996	0	2.75727	52.05500	349.64090
2.31704	0	2.61572	48.46500	349.43787
2.47644	0	2.46566	44.87500	349.46054
2.62914	0	2.30853	41.28500	349.88135
2.76748	0	2.13857	37.69500	349.74908
2.89699	0	1.96178	34.10500	349.87296
3.01060	0	1.77444	30.51500	349.46170
3.11756	0	1.58334	26.92500	349.65942
3.21028	0	1.38489	23.33500	349.62540
3.28955	0	1.18075	19.74500	349.50403
3.35632	0	0.97224	16.15500	349.43048
3.41104	0	0.76027	12.56500	349.47443
3.44994	0	0.54487	8.97500	349.26993
3.47956	0	0.32800	5.38500	349.49875
3.47979	0	-0.32802	-5.38500	349.52148
3.45312	0	-0.54538	-8.97500	349.59274
3.41229	0	-0.76055	-12.56500	349.60187
3.35740	0	-0.97256	-16.15500	349.54260
3.29009	0	-1.18094	-19.74500	349.56149
3.21111	0	-1.38525	-23.33500	349.71609
3.11528	0	-1.58218	-26.92500	349.40344
3.01313	0	-1.77593	-30.51500	349.75601
2.88860	0	-1.95610	-34.10500	348.86044
2.75565	0	-2.12942	-37.69500	348.25342
2.61671	0	-2.29762	-41.28500	348.22787
2.46681	0	-2.45607	-44.87500	348.10092
2.30157	0	-2.59826	-48.46500	347.10474
2.13666	0	-2.74021	-52.05500	347.47760
