column     row     bank     Position     DetectorNum     Z     X     Elevation
SF     3     22     Col6_Row4_1     240_1     61.064078     -3.189157     0.603133
SF     3     22     Col6_Row4_2     240_2     60.287931     -3.134517     0.602189
SF     3     22     Col6_Row4_3     240_3     60.286498     -3.136650     0.207084
SF     3     22     Col6_Row4_4     240_4     61.064181     -3.191413     0.206770
SG     1     23     Col7_Row2_1     576_1     61.846465     -3.067145     -0.213475
SG     1     23     Col7_Row2_2     576_2     61.077160     -3.188210     -0.213125
SG     1     23     Col7_Row2_3     576_3     61.078090     -3.189167     -0.609350
SG     1     23     Col7_Row2_4     576_4     61.847363     -3.068705     -0.609038
SG     2     24     Col7_Row3_1     593_1     61.849381     -3.069424     0.196258
SG     2     24     Col7_Row3_2     593_2     61.080568     -3.187780     0.195267
SG     2     24     Col7_Row3_3     593_3     61.080628     -3.187785     -0.200556
SG     2     24     Col7_Row3_4     593_4     61.850262     -3.069812     -0.199458
SG     3     25     Col7_Row4_1     566_1     61.847044     -3.072131     0.604691
SG     3     25     Col7_Row4_2     566_2     61.077622     -3.192336     0.604403
SG     3     25     Col7_Row4_3     566_3     61.077145     -3.191336     0.209558
SG     3     25     Col7_Row4_4     566_4     61.846188     -3.071521     0.209183
SH     1     26     Col8_Row2_1     243_1     62.585746     -2.786274     -0.213418
SH     1     26     Col8_Row2_2     243_2     61.859695     -3.067141     -0.216291
SH     1     26     Col8_Row2_3     243_3     61.860602     -3.067835     -0.609827
SH     1     26     Col8_Row2_4     243_4     62.587118     -2.786751     -0.609776
SH     2     27     Col8_Row3_1     242_1     62.587055     -2.784491     0.193765
SH     2     27     Col8_Row3_2     242_2     61.861342     -3.065839     0.193152
SH     2     27     Col8_Row3_3     242_3     61.862603     -3.068015     -0.202446
SH     2     27     Col8_Row3_4     242_4     62.588854     -2.787270     -0.201436
SH     3     28     Col8_Row4_1     565_1     62.588650     -2.785083     0.603781
SH     3     28     Col8_Row4_2     565_2     61.861570     -3.064217     0.603496
SH     3     28     Col8_Row4_3     565_3     61.861919     -3.065132     0.207073
SH     3     28     Col8_Row4_4     565_4     62.588672     -2.785325     0.207432
SI     1     29     Col9_Row2_1     572_1     63.253042     -2.355154     -0.214333
SI     1     29     Col9_Row2_2     572_2     62.597128     -2.775232     -0.214330
SI     1     29     Col9_Row2_3     572_3     62.597068     -2.775766     -0.610418
SI     1     29     Col9_Row2_4     572_4     63.253415     -2.355698     -0.610106
SI     2     30     Col9_Row3_1     597_1     63.253169     -2.356342     0.196089
SI     2     30     Col9_Row3_2     597_2     62.598658     -2.777192     0.194242
SI     2     30     Col9_Row3_3     597_3     62.598614     -2.777514     -0.201152
SI     2     30     Col9_Row3_4     597_4     63.253771     -2.356705     -0.199983
SI     3     31     Col9_Row4_1     225_1     63.252481     -2.355761     0.604179
SI     3     31     Col9_Row4_2     225_2     62.597118     -2.776885     0.603802
SI     3     31     Col9_Row4_3     225_3     62.598373     -2.778528     0.207724
SI     3     31     Col9_Row4_4     225_4     63.254085     -2.357409     0.207870
SJ     1     32     Col10_Row2_1     590_1     63.829126     -1.810507     -0.213748
SJ     1     32     Col10_Row2_2     590_2     63.266896     -2.349610     -0.214490
SJ     1     32     Col10_Row2_3     590_3     63.268045     -2.349898     -0.610110
SJ     1     32     Col10_Row2_4     590_4     63.829707     -1.811208     -0.610329
SJ     2     33     Col10_Row3_1     591_1     63.831951     -1.812940     0.196695
SJ     2     33     Col10_Row3_2     591_2     63.267368     -2.348913     0.194688
SJ     2     33     Col10_Row3_3     591_3     63.268197     -2.348965     -0.201338
SJ     2     33     Col10_Row3_4     591_4     63.832966     -1.813068     -0.199847
SJ     3     34     Col10_Row4_1     578_1     63.830146     -1.809307     0.603967
SJ     3     34     Col10_Row4_2     578_2     63.267883     -2.349076     0.604659
SJ     3     34     Col10_Row4_3     578_3     63.268189     -2.349546     0.208377
SJ     3     34     Col10_Row4_4     578_4     63.830474     -1.810386     0.207333
SK     1     35     Col11_Row2_1     571_1     64.298814     -1.172330     -0.213496
SK     1     35     Col11_Row2_2     571_2     63.840259     -1.802033     -0.214159
SK     1     35     Col11_Row2_3     571_3     63.840657     -1.801870     -0.610650
SK     1     35     Col11_Row2_4     571_4     64.300016     -1.172940     -0.609341
SK     2     36     Col11_Row3_1     585_1     64.300834     -1.174040     0.195913
SK     2     36     Col11_Row3_2     585_2     63.840684     -1.802200     0.192952
SK     2     36     Col11_Row3_3     585_3     63.841295     -1.800721     -0.201375
SK     2     36     Col11_Row3_4     585_4     64.300907     -1.173377     -0.200242
SK     3     37     Col11_Row4_1     573_1     64.300295     -1.172852     0.603394
SK     3     37     Col11_Row4_2     573_2     63.838942     -1.800630     0.603966
SK     3     37     Col11_Row4_3     573_3     63.839306     -1.801036     0.207834
SK     3     37     Col11_Row4_4     573_4     64.300709     -1.173456     0.207469
SL     1     38     Col12_Row2_1     574_1     64.651289     -0.462425     -0.212638
SL     1     38     Col12_Row2_2     574_2     64.305810     -1.160897     -0.213978
SL     1     38     Col12_Row2_3     574_3     64.306627     -1.161739     -0.608335
SL     1     38     Col12_Row2_4     574_4     64.652369     -0.463784     -0.608908
SL     2     39     Col12_Row3_1     261_1     64.652767     -0.464688     0.196305
SL     2     39     Col12_Row3_2     261_2     64.308540     -1.163297     0.195711
SL     2     39     Col12_Row3_3     261_3     64.308756     -1.163116     -0.200440
SL     2     39     Col12_Row3_4     261_4     64.653327     -0.464633     -0.199675
SL     3     40     Col12_Row4_1     586_1     64.652194     -0.460344     0.604573
SL     3     40     Col12_Row4_2     586_2     64.304423     -1.157949     0.603623
SL     3     40     Col12_Row4_3     586_3     64.305520     -1.158268     0.207430
SL     3     40     Col12_Row4_4     586_4     64.653312     -0.460343     0.208041
