DETECTOR PointName Z X Y
Det35_1D  21.422865 0.493372 -0.668330
Det35_2D  21.422939 0.633360 -0.536519
Det36_1U  20.444155 0.299335 -0.795573
Det36_2U  20.442646 0.469985 -0.707426
Det36_1D  21.409946 0.299286 -0.780516
Det36_2D  21.408328 0.469896 -0.692289
Det37_1U  20.444012 0.076472 -0.846925
Det37_2U  20.443549 0.265033 -0.808572
Det37_1D  21.409804 0.075827 -0.834973
Det37_2D  21.409487 0.263783 -0.794818
Det38_1U  19.455491 -0.812917 -0.555835
Det38_2U  19.452728 -0.689701 -0.703418
Det38_1D  20.421275 -0.792684 -0.557022
Det38_2D  20.418512 -0.669468 -0.704606
Det39_1U  19.455089 -0.917685 -0.352854
Det39_2U  19.454539 -0.832015 -0.524991
Det39_1D  20.421057 -0.910288 -0.352256
Det39_2D  20.420508 -0.824618 -0.524393
Det40_1D  20.421567 -0.932012 -0.319438
Det40_2D  20.421169 -0.975170 -0.132066
Det40_1U  19.455597 -0.924705 -0.319803
Det40_2U  19.455200 -0.967862 -0.132431
Det41_1D  20.421940 -0.975691 -0.100000
Det41_2D  20.422519 -0.975292 0.092277
Det41_1U  19.455951 -0.977990 -0.097089
Det41_2U  19.456529 -0.977592 0.095188
Det42_1D  20.420450 -0.968633 0.128892
Det42_2D  20.420107 -0.923763 0.315861
Det42_1U  19.454505 -0.978599 0.129510
Det42_2U  19.454161 -0.933730 0.316479
Det43_1U  19.455339 -0.923673 0.347875
Det43_2U  19.453654 -0.839404 0.520695
Det43_1D  20.421102 -0.902445 0.346944
Det43_2D  20.419417 -0.818176 0.519764
Det44_1U  19.455298 -0.814638 0.548554
Det44_2U  19.453830 -0.691330 0.696080
Det44_1D  20.421226 -0.803085 0.548508
Det44_2D  20.419758 -0.679777 0.696034
Det45_1D  20.475494 0.684383 0.695782
Det45_2D  20.475416 0.808360 0.548811
Det45_1U  19.509511 0.688057 0.699394
Det45_2U  19.509433 0.812034 0.552423
Det46_1D  20.471236 0.831139 0.522286
Det46_2D  20.470898 0.916824 0.350156
Det46_1U  19.505244 0.828774 0.523007
Det46_2U  19.504906 0.914459 0.350876
Det47_1D  20.471741 0.929422 0.318293
Det47_2D  20.472162 0.973894 0.131229
Det47_1U  19.505746 0.929296 0.316087
Det47_2U  19.506168 0.973769 0.129023
Det48_1D  20.470620 0.980269 -0.099560
Det48_2D  20.471045 0.978839 0.092710
Det48_1U  19.504626 0.978738 -0.096594
Det48_2U  19.505052 0.977310 0.095676
Det49_1D  20.471646 0.931628 -0.319830
Det49_2D  20.471471 0.975527 -0.132631
Det49_1U  19.505650 0.930409 -0.320448
Det49_2U  19.505475 0.974308 -0.133249
Det50_1D  20.471940 0.831365 -0.526004
Det50_2D  20.471951 0.916356 -0.353530
Det50_1U  19.505943 0.830940 -0.525733
Det50_2U  19.505954 0.915931 -0.353259
Det51_1D  20.471655 0.689447 -0.702414
Det51_2D  20.471325 0.811854 -0.554134
Det51_1U  19.505665 0.685731 -0.702798
Det51_2U  19.505336 0.808139 -0.554517
Det52_1U  18.417960 -0.621799 -0.426726
Det52_2U  18.420374 -0.493968 -0.570338
Det52_1D  19.357548 -0.796975 -0.566860
Det52_2D  19.359962 -0.669144 -0.710472
Det53_1U  18.419199 -0.735088 -0.227647
Det53_2U  18.420742 -0.654097 -0.402028
Det53_1D  19.358921 -0.941098 -0.315010
Det53_2D  19.360464 -0.860107 -0.489392
Det54_1U  18.419637 -0.766574 -0.001785
Det54_2U  18.420327 -0.740936 -0.192345
Det54_1D  19.359351 -0.988806 -0.028285
Det54_2D  19.360040 -0.963168 -0.218845
Det55_1U  18.419330 -0.750200 0.035765
Det55_2U  18.418411 -0.720253 0.225694
Det55_1D  19.359441 -0.968877 0.074795
Det55_2D  19.358522 -0.938929 0.264724
Det56_1U  18.420344 -0.718669 0.263180
Det56_2U  18.418171 -0.642515 0.439721
Det56_1D  19.362861 -0.908581 0.356701
Det56_2D  19.360688 -0.832427 0.533242
Det57_1U  18.417228 -0.607674 0.459649
Det57_2U  18.418380 -0.476960 0.600657
Det57_1D  19.357934 -0.772496 0.604751
Det57_2D  19.359086 -0.641782 0.745760
Det58_1U  18.457513 0.476817 0.604077
Det58_2U  18.453733 0.613293 0.468685
Det58_1D  19.420129 0.782022 0.611784
Det58_2D  19.423909 0.645546 0.747175
Det59_1U  18.455302 0.642966 0.434046
Det59_2U  18.452968 0.735306 0.265408
Det59_1D  19.419671 0.933539 0.360577
Det59_2D  19.422005 0.841198 0.529215
