Location	Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
M38	-1318.510269	-50	2684.532435	2991.267912	-177.8282938	26.1742934	0	-206.158	0
T1	2283.198732	996.3571453	-2142.26727	3285.579563	23.57580753	130.6941596	0	-46.824	0
T2	2427.902223	996.3571453	-1976.764098	3285.579563	22.31215739	126.988056	0	-50.848	0
T3	2560.634909	996.3571453	-1801.514464	3285.579563	21.26128559	123.2511143	0	-54.872	0
T4	2680.742351	996.3571453	-1617.382439	3285.579563	20.38869592	119.489695	0	-58.896	0
T5	2787.632355	996.3571453	-1425.275888	3285.579563	19.66793461	115.7087955	0	-62.92	0
T6	2880.777901	996.3571453	-1226.141994	3285.579563	19.07865672	111.9124232	0	-66.944	0
T7	2959.719732	996.3571453	-1020.962591	3285.579563	18.60524106	108.1038613	0	-70.968	0
T8	3043.615947	996.3571453	-733.9669414	3285.579563	18.12636022	102.9082461	0	-76.442	0
T9	3087.618288	996.3571453	-518.5738259	3285.579563	17.88460002	99.08115483	0	-80.466	0
T10	3116.397085	996.3571453	-300.6238752	3285.579563	17.72982873	95.24979033	0	-84.49	0
T11	3129.810444	996.3571453	-81.19169433	3285.579563	17.65857468	91.41601045	0	-88.514	0
T12	3127.79223	996.3571453	138.6408033	3285.579563	17.66926032	87.58158585	0	-92.538	0
T13	3110.352394	996.3571453	357.7897305	3285.579563	17.7621214	83.74826411	0	-96.562	0
T14	3077.576923	996.3571453	575.1745706	3285.579563	17.93921896	79.91783232	0	-100.586	0
T15	2984.903983	996.3571453	944.8035343	3285.579563	18.45894398	73.28802554	0	-107.564	0
T16	2911.244476	996.3571453	1151.937977	3285.579563	18.89322423	69.47572519	0	-111.588	0
T17	2823.23104	996.3571453	1353.392774	3285.579563	19.43863912	65.67455708	0	-115.612	0
T18	2721.297624	996.3571453	1548.174649	3285.579563	20.10935087	61.88759165	0	-119.636	0
T19	2605.946814	996.3571453	1735.323228	3285.579563	20.92384411	58.11854575	0	-123.66	0
T20	2477.747347	996.3571453	1913.915773	3285.579563	21.90615298	54.37201882	0	-127.684	0
T21	2337.331314	996.3571453	2083.07173	3285.579563	23.08757255	50.65382209	0	-131.708	0
T22	2127.959483	996.3571453	2296.539559	3285.579563	25.09002082	45.65513554	0	-137.182	0
T23	1961.5554	996.3571453	2440.206122	3285.579563	26.92794592	42.03791416	0	-141.206	0
T24	1785.479841	996.3571453	2571.841216	3285.579563	29.1629706	38.48543507	0	-145.23	0
T25	1600.600951	996.3571453	2690.795812	3285.579563	31.9018266	35.01803732	0	-149.254	0
T26	1407.830275	996.3571453	2796.483403	3285.579563	35.2880096	31.66427963	0	-153.278	0
T27	1208.118273	996.3571453	2888.382894	3285.579563	39.51302333	28.46491921	0	-157.302	0
T28	868.0242879	996.3571453	3008.128877	3285.579563	48.93768724	23.71532879	0	-163.904	0
T29	654.7909678	996.3571453	3061.626086	3285.579563	56.68768294	21.27692414	0	-167.928	0
T30	438.3291921	996.3571453	3100.027907	3285.579563	66.25377937	19.34770394	0	-171.952	0
T31	219.7062283	996.3571453	3123.144998	3285.579563	77.56473925	18.09158208	0	-175.976	0
T32	-4.85335E-13	996.3571453	3130.86338	3285.579563	90	17.65300477	0	-180.	0
T33	-219.7062283	996.3571453	3123.144998	3285.579563	102.4352608	18.09158208	0	-184.024	0
T34	-438.3291921	996.3571453	3100.027907	3285.579563	113.7462206	19.34770394	0	-188.048	0
T35	-751.48464	996.3571453	3039.338142	3285.579563	127.0247744	22.3235181	0	-193.888	0
T36	-962.9155438	996.3571453	2979.110464	3285.579563	134.0221491	24.94365262	0	-197.912	0
T37	-1169.598779	996.3571453	2904.194243	3285.579563	139.5730055	27.88091492	0	-201.936	0
T38	-1370.515292	996.3571453	2814.958852	3285.579563	143.9830526	31.04508776	0	-205.96	0
