## Bank 11
# id	l2	ef
13312 0.5188 12.478
13313 0.5188 12.478
13314 0.5188 12.478
13315 0.5188 12.478
13316 0.5188 12.478
13317 0.5188 12.478
13318 0.5188 12.478
13319 0.5188 12.478
13320 0.5188 12.478
13321 0.5188 12.478
13322 0.5188 12.478
13323 0.5188 12.478
13324 0.5188 12.478
13325 0.5188 12.478
13326 0.5188 12.478
13327 0.5188 12.478
13328 0.5188 12.478
13329 0.5188 12.478
13330 0.5188 12.478
13331 0.5188 12.478
13332 0.5188 12.478
13333 0.5188 12.478
13334 0.5188 12.478
13335 0.5188 12.478
13336 0.5188 12.478
13337 0.5188 12.478
13338 0.5188 12.478
13339 0.5188 12.478
13340 0.5188 12.478
13341 0.5188 12.478
13342 0.5188 12.478
13343 0.5188 12.478
13344 0.5188 12.478
13345 0.5188 12.478
13346 0.5188 12.478
13347 0.5188 12.478
13348 0.5188 12.478
13349 0.5188 12.478
13350 0.5188 12.478
13351 0.5188 12.478
13352 0.5188 12.478
13353 0.5188 12.478
13354 0.5188 12.478
13355 0.5188 12.478
13356 0.5188 12.478
13357 0.5188 12.478
13358 0.5188 12.478
13359 0.5188 12.478
13360 0.5188 12.478
13361 0.5188 12.478
13362 0.5188 12.478
13363 0.5188 12.478
13364 0.5188 12.478
13365 0.5188 12.478
13366 0.5188 12.478
13367 0.5188 12.478
13368 0.5188 12.478
13369 0.5188 12.478
13370 0.5188 12.478
13371 0.5188 12.478
13372 0.5188 12.478
13373 0.5188 12.478
13374 0.5188 12.478
13375 0.5188 12.478
13376 0.5188 12.478
13377 0.5188 12.478
13378 0.5188 12.478
13379 0.5188 12.478
13380 0.5188 12.478
13381 0.5188 12.478
13382 0.5188 12.478
13383 0.5188 12.478
13384 0.5188 12.478
13385 0.5188 12.478
13386 0.5188 12.478
13387 0.5188 12.478
13388 0.5188 12.478
13389 0.5188 12.478
13390 0.5188 12.478
13391 0.5188 12.478
13392 0.5188 12.478
13393 0.5188 12.478
13394 0.5188 12.478
13395 0.5188 12.478
13396 0.5188 12.478
13397 0.5188 12.478
13398 0.5188 12.478
13399 0.5188 12.478
13400 0.5188 12.478
13401 0.5188 12.478
13402 0.5188 12.478
13403 0.5188 12.478
13404 0.5188 12.478
13405 0.5188 12.478
13406 0.5188 12.478
13407 0.5188 12.478
13408 0.5188 12.478
13409 0.5188 12.478
13410 0.5188 12.478
13411 0.5188 12.478
13412 0.5188 12.478
13413 0.5188 12.478
13414 0.5188 12.478
13415 0.5188 12.478
13416 0.5188 12.478
13417 0.5188 12.478
13418 0.5188 12.478
13419 0.5188 12.478
13420 0.5188 12.478
13421 0.5188 12.478
13422 0.5188 12.478
13423 0.5188 12.478
13424 0.5188 12.478
13425 0.5188 12.478
13426 0.5188 12.478
13427 0.5188 12.478
13428 0.5188 12.478
13429 0.5188 12.478
13430 0.5188 12.478
13431 0.5188 12.478
13432 0.5188 12.478
13433 0.5188 12.478
13434 0.5188 12.478
13435 0.5188 12.478
13436 0.5188 12.478
13437 0.5188 12.478
13438 0.5188 12.478
13439 0.5188 12.478
13440 0.5188 12.478
13441 0.5188 12.478
13442 0.5188 12.478
13443 0.5188 12.478
13444 0.5188 12.478
13445 0.5188 12.478
13446 0.5188 12.478
13447 0.5188 12.478
13448 0.5188 12.478
13449 0.5188 12.478
13450 0.5188 12.478
13451 0.5188 12.478
13452 0.5188 12.478
13453 0.5188 12.478
13454 0.5188 12.478
13455 0.5188 12.478
13456 0.5188 12.478
13457 0.5188 12.478
13458 0.5188 12.478
13459 0.5188 12.478
13460 0.5188 12.478
13461 0.5188 12.478
13462 0.5188 12.478
13463 0.5188 12.478
13464 0.5188 12.478
13465 0.5188 12.478
13466 0.5188 12.478
13467 0.5188 12.478
13468 0.5188 12.478
13469 0.5188 12.478
13470 0.5188 12.478
13471 0.5188 12.478
13472 0.5188 12.478
13473 0.5188 12.478
13474 0.5188 12.478
13475 0.5188 12.478
13476 0.5188 12.478
13477 0.5188 12.478
13478 0.5188 12.478
13479 0.5188 12.478
13480 0.5188 12.478
13481 0.5188 12.478
13482 0.5188 12.478
13483 0.5188 12.478
13484 0.5188 12.478
13485 0.5188 12.478
13486 0.5188 12.478
13487 0.5188 12.478
13488 0.5188 12.478
13489 0.5188 12.478
13490 0.5188 12.478
13491 0.5188 12.478
13492 0.5188 12.478
13493 0.5188 12.478
13494 0.5188 12.478
13495 0.5188 12.478
13496 0.5188 12.478
13497 0.5188 12.478
13498 0.5188 12.478
13499 0.5188 12.478
13500 0.5188 12.478
13501 0.5188 12.478
13502 0.5188 12.478
13503 0.5188 12.478
13504 0.5188 12.478
13505 0.5188 12.478
13506 0.5188 12.478
13507 0.5188 12.478
13508 0.5188 12.478
13509 0.5188 12.478
13510 0.5188 12.478
13511 0.5188 12.478
13512 0.5188 12.478
13513 0.5188 12.478
13514 0.5188 12.478
13515 0.5188 12.478
13516 0.5188 12.478
13517 0.5188 12.478
13518 0.5188 12.478
13519 0.5188 12.478
13520 0.5188 12.478
13521 0.5188 12.478
13522 0.5188 12.478
13523 0.5188 12.478
13524 0.5188 12.478
13525 0.5188 12.478
13526 0.5188 12.478
13527 0.5188 12.478
13528 0.5188 12.478
13529 0.5188 12.478
13530 0.5188 12.478
13531 0.5188 12.478
13532 0.5188 12.478
13533 0.5188 12.478
13534 0.5188 12.478
13535 0.5188 12.478
13536 0.5188 12.478
13537 0.5188 12.478
13538 0.5188 12.478
13539 0.5188 12.478
13540 0.5188 12.478
13541 0.5188 12.478
13542 0.5188 12.478
13543 0.5188 12.478
13544 0.5188 12.478
13545 0.5188 12.478
13546 0.5188 12.478
13547 0.5188 12.478
13548 0.5188 12.478
13549 0.5188 12.478
13550 0.5188 12.478
13551 0.5188 12.478
13552 0.5188 12.478
13553 0.5188 12.478
13554 0.5188 12.478
13555 0.5188 12.478
13556 0.5188 12.478
13557 0.5188 12.478
13558 0.5188 12.478
13559 0.5188 12.478
13560 0.5188 12.478
13561 0.5188 12.478
13562 0.5188 12.478
13563 0.5188 12.478
13564 0.5188 12.478
13565 0.5188 12.478
13566 0.5188 12.478
13567 0.5188 12.478
13568 0.5188 12.478
13569 0.5188 12.478
13570 0.5188 12.478
13571 0.5188 12.478
13572 0.5188 12.478
13573 0.5188 12.478
13574 0.5188 12.478
13575 0.5188 12.478
13576 0.5188 12.478
13577 0.5188 12.478
13578 0.5188 12.478
13579 0.5188 12.478
13580 0.5188 12.478
13581 0.5188 12.478
13582 0.5188 12.478
13583 0.5188 12.478
13584 0.5188 12.478
13585 0.5188 12.478
13586 0.5188 12.478
13587 0.5188 12.478
13588 0.5188 12.478
13589 0.5188 12.478
13590 0.5188 12.478
13591 0.5188 12.478
13592 0.5188 12.478
13593 0.5188 12.478
13594 0.5188 12.478
13595 0.5188 12.478
13596 0.5188 12.478
13597 0.5188 12.478
13598 0.5188 12.478
13599 0.5188 12.478
13600 0.5188 12.478
13601 0.5188 12.478
13602 0.5188 12.478
13603 0.5188 12.478
13604 0.5188 12.478
13605 0.5188 12.478
13606 0.5188 12.478
13607 0.5188 12.478
13608 0.5188 12.478
13609 0.5188 12.478
13610 0.5188 12.478
13611 0.5188 12.478
13612 0.5188 12.478
13613 0.5188 12.478
13614 0.5188 12.478
13615 0.5188 12.478
13616 0.5188 12.478
13617 0.5188 12.478
13618 0.5188 12.478
13619 0.5188 12.478
13620 0.5188 12.478
13621 0.5188 12.478
13622 0.5188 12.478
13623 0.5188 12.478
13624 0.5188 12.478
13625 0.5188 12.478
13626 0.5188 12.478
13627 0.5188 12.478
13628 0.5188 12.478
13629 0.5188 12.478
13630 0.5188 12.478
13631 0.5188 12.478
13632 0.5188 12.478
13633 0.5188 12.478
13634 0.5188 12.478
13635 0.5188 12.478
13636 0.5188 12.478
13637 0.5188 12.478
13638 0.5188 12.478
13639 0.5188 12.478
13640 0.5188 12.478
13641 0.5188 12.478
13642 0.5188 12.478
13643 0.5188 12.478
13644 0.5188 12.478
13645 0.5188 12.478
13646 0.5188 12.478
13647 0.5188 12.478
13648 0.5188 12.478
13649 0.5188 12.478
13650 0.5188 12.478
13651 0.5188 12.478
13652 0.5188 12.478
13653 0.5188 12.478
13654 0.5188 12.478
13655 0.5188 12.478
13656 0.5188 12.478
13657 0.5188 12.478
13658 0.5188 12.478
13659 0.5188 12.478
13660 0.5188 12.478
13661 0.5188 12.478
13662 0.5188 12.478
13663 0.5188 12.478
13664 0.5188 12.478
13665 0.5188 12.478
13666 0.5188 12.478
13667 0.5188 12.478
13668 0.5188 12.478
13669 0.5188 12.478
13670 0.5188 12.478
13671 0.5188 12.478
13672 0.5188 12.478
13673 0.5188 12.478
13674 0.5188 12.478
13675 0.5188 12.478
13676 0.5188 12.478
13677 0.5188 12.478
13678 0.5188 12.478
13679 0.5188 12.478
13680 0.5188 12.478
13681 0.5188 12.478
13682 0.5188 12.478
13683 0.5188 12.478
13684 0.5188 12.478
13685 0.5188 12.478
13686 0.5188 12.478
13687 0.5188 12.478
13688 0.5188 12.478
13689 0.5188 12.478
13690 0.5188 12.478
13691 0.5188 12.478
13692 0.5188 12.478
13693 0.5188 12.478
13694 0.5188 12.478
13695 0.5188 12.478
13696 0.5188 12.478
13697 0.5188 12.478
13698 0.5188 12.478
13699 0.5188 12.478
13700 0.5188 12.478
13701 0.5188 12.478
13702 0.5188 12.478
13703 0.5188 12.478
13704 0.5188 12.478
13705 0.5188 12.478
13706 0.5188 12.478
13707 0.5188 12.478
13708 0.5188 12.478
13709 0.5188 12.478
13710 0.5188 12.478
13711 0.5188 12.478
13712 0.5188 12.478
13713 0.5188 12.478
13714 0.5188 12.478
13715 0.5188 12.478
13716 0.5188 12.478
13717 0.5188 12.478
13718 0.5188 12.478
13719 0.5188 12.478
13720 0.5188 12.478
13721 0.5188 12.478
13722 0.5188 12.478
13723 0.5188 12.478
13724 0.5188 12.478
13725 0.5188 12.478
13726 0.5188 12.478
13727 0.5188 12.478
13728 0.5188 12.478
13729 0.5188 12.478
13730 0.5188 12.478
13731 0.5188 12.478
13732 0.5188 12.478
13733 0.5188 12.478
13734 0.5188 12.478
13735 0.5188 12.478
13736 0.5188 12.478
13737 0.5188 12.478
13738 0.5188 12.478
13739 0.5188 12.478
13740 0.5188 12.478
13741 0.5188 12.478
13742 0.5188 12.478
13743 0.5188 12.478
13744 0.5188 12.478
13745 0.5188 12.478
13746 0.5188 12.478
13747 0.5188 12.478
13748 0.5188 12.478
13749 0.5188 12.478
13750 0.5188 12.478
13751 0.5188 12.478
13752 0.5188 12.478
13753 0.5188 12.478
13754 0.5188 12.478
13755 0.5188 12.478
13756 0.5188 12.478
13757 0.5188 12.478
13758 0.5188 12.478
13759 0.5188 12.478
13760 0.5188 12.478
13761 0.5188 12.478
13762 0.5188 12.478
13763 0.5188 12.478
13764 0.5188 12.478
13765 0.5188 12.478
13766 0.5188 12.478
13767 0.5188 12.478
13768 0.5188 12.478
13769 0.5188 12.478
13770 0.5188 12.478
13771 0.5188 12.478
13772 0.5188 12.478
13773 0.5188 12.478
13774 0.5188 12.478
13775 0.5188 12.478
13776 0.5188 12.478
13777 0.5188 12.478
13778 0.5188 12.478
13779 0.5188 12.478
13780 0.5188 12.478
13781 0.5188 12.478
13782 0.5188 12.478
13783 0.5188 12.478
13784 0.5188 12.478
13785 0.5188 12.478
13786 0.5188 12.478
13787 0.5188 12.478
13788 0.5188 12.478
13789 0.5188 12.478
13790 0.5188 12.478
13791 0.5188 12.478
13792 0.5188 12.478
13793 0.5188 12.478
13794 0.5188 12.478
13795 0.5188 12.478
13796 0.5188 12.478
13797 0.5188 12.478
13798 0.5188 12.478
13799 0.5188 12.478
13800 0.5188 12.478
13801 0.5188 12.478
13802 0.5188 12.478
13803 0.5188 12.478
13804 0.5188 12.478
13805 0.5188 12.478
13806 0.5188 12.478
13807 0.5188 12.478
13808 0.5188 12.478
13809 0.5188 12.478
13810 0.5188 12.478
13811 0.5188 12.478
13812 0.5188 12.478
13813 0.5188 12.478
13814 0.5188 12.478
13815 0.5188 12.478
13816 0.5188 12.478
13817 0.5188 12.478
13818 0.5188 12.478
13819 0.5188 12.478
13820 0.5188 12.478
13821 0.5188 12.478
13822 0.5188 12.478
13823 0.5188 12.478
13824 0.5188 12.478
13825 0.5188 12.478
13826 0.5188 12.478
13827 0.5188 12.478
13828 0.5188 12.478
13829 0.5188 12.478
13830 0.5188 12.478
13831 0.5188 12.478
13832 0.5188 12.478
13833 0.5188 12.478
13834 0.5188 12.478
13835 0.5188 12.478
13836 0.5188 12.478
13837 0.5188 12.478
13838 0.5188 12.478
13839 0.5188 12.478
13840 0.5188 12.478
13841 0.5188 12.478
13842 0.5188 12.478
13843 0.5188 12.478
13844 0.5188 12.478
13845 0.5188 12.478
13846 0.5188 12.478
13847 0.5188 12.478
13848 0.5188 12.478
13849 0.5188 12.478
13850 0.5188 12.478
13851 0.5188 12.478
13852 0.5188 12.478
13853 0.5188 12.478
13854 0.5188 12.478
13855 0.5188 12.478
13856 0.5188 12.478
13857 0.5188 12.478
13858 0.5188 12.478
13859 0.5188 12.478
13860 0.5188 12.478
13861 0.5188 12.478
13862 0.5188 12.478
13863 0.5188 12.478
13864 0.5188 12.478
13865 0.5188 12.478
13866 0.5188 12.478
13867 0.5188 12.478
13868 0.5188 12.478
13869 0.5188 12.478
13870 0.5188 12.478
13871 0.5188 12.478
13872 0.5188 12.478
13873 0.5188 12.478
13874 0.5188 12.478
13875 0.5188 12.478
13876 0.5188 12.478
13877 0.5188 12.478
13878 0.5188 12.478
13879 0.5188 12.478
13880 0.5188 12.478
13881 0.5188 12.478
13882 0.5188 12.478
13883 0.5188 12.478
13884 0.5188 12.478
13885 0.5188 12.478
13886 0.5188 12.478
13887 0.5188 12.478
13888 0.5188 12.478
13889 0.5188 12.478
13890 0.5188 12.478
13891 0.5188 12.478
13892 0.5188 12.478
13893 0.5188 12.478
13894 0.5188 12.478
13895 0.5188 12.478
13896 0.5188 12.478
13897 0.5188 12.478
13898 0.5188 12.478
13899 0.5188 12.478
13900 0.5188 12.478
13901 0.5188 12.478
13902 0.5188 12.478
13903 0.5188 12.478
13904 0.5188 12.478
13905 0.5188 12.478
13906 0.5188 12.478
13907 0.5188 12.478
13908 0.5188 12.478
13909 0.5188 12.478
13910 0.5188 12.478
13911 0.5188 12.478
13912 0.5188 12.478
13913 0.5188 12.478
13914 0.5188 12.478
13915 0.5188 12.478
13916 0.5188 12.478
13917 0.5188 12.478
13918 0.5188 12.478
13919 0.5188 12.478
13920 0.5188 12.478
13921 0.5188 12.478
13922 0.5188 12.478
13923 0.5188 12.478
13924 0.5188 12.478
13925 0.5188 12.478
13926 0.5188 12.478
13927 0.5188 12.478
13928 0.5188 12.478
13929 0.5188 12.478
13930 0.5188 12.478
13931 0.5188 12.478
13932 0.5188 12.478
13933 0.5188 12.478
13934 0.5188 12.478
13935 0.5188 12.478
13936 0.5188 12.478
13937 0.5188 12.478
13938 0.5188 12.478
13939 0.5188 12.478
13940 0.5188 12.478
13941 0.5188 12.478
13942 0.5188 12.478
13943 0.5188 12.478
13944 0.5188 12.478
13945 0.5188 12.478
13946 0.5188 12.478
13947 0.5188 12.478
13948 0.5188 12.478
13949 0.5188 12.478
13950 0.5188 12.478
13951 0.5188 12.478
13952 0.5188 12.478
13953 0.5188 12.478
13954 0.5188 12.478
13955 0.5188 12.478
13956 0.5188 12.478
13957 0.5188 12.478
13958 0.5188 12.478
13959 0.5188 12.478
13960 0.5188 12.478
13961 0.5188 12.478
13962 0.5188 12.478
13963 0.5188 12.478
13964 0.5188 12.478
13965 0.5188 12.478
13966 0.5188 12.478
13967 0.5188 12.478
13968 0.5188 12.478
13969 0.5188 12.478
13970 0.5188 12.478
13971 0.5188 12.478
13972 0.5188 12.478
13973 0.5188 12.478
13974 0.5188 12.478
13975 0.5188 12.478
13976 0.5188 12.478
13977 0.5188 12.478
13978 0.5188 12.478
13979 0.5188 12.478
13980 0.5188 12.478
13981 0.5188 12.478
13982 0.5188 12.478
13983 0.5188 12.478
13984 0.5188 12.478
13985 0.5188 12.478
13986 0.5188 12.478
13987 0.5188 12.478
13988 0.5188 12.478
13989 0.5188 12.478
13990 0.5188 12.478
13991 0.5188 12.478
13992 0.5188 12.478
13993 0.5188 12.478
13994 0.5188 12.478
13995 0.5188 12.478
13996 0.5188 12.478
13997 0.5188 12.478
13998 0.5188 12.478
13999 0.5188 12.478
14000 0.5188 12.478
14001 0.5188 12.478
14002 0.5188 12.478
14003 0.5188 12.478
14004 0.5188 12.478
14005 0.5188 12.478
14006 0.5188 12.478
14007 0.5188 12.478
14008 0.5188 12.478
14009 0.5188 12.478
14010 0.5188 12.478
14011 0.5188 12.478
14012 0.5188 12.478
14013 0.5188 12.478
14014 0.5188 12.478
14015 0.5188 12.478
14016 0.5188 12.478
14017 0.5188 12.478
14018 0.5188 12.478
14019 0.5188 12.478
14020 0.5188 12.478
14021 0.5188 12.478
14022 0.5188 12.478
14023 0.5188 12.478
14024 0.5188 12.478
14025 0.5188 12.478
14026 0.5188 12.478
14027 0.5188 12.478
14028 0.5188 12.478
14029 0.5188 12.478
14030 0.5188 12.478
14031 0.5188 12.478
14032 0.5188 12.478
14033 0.5188 12.478
14034 0.5188 12.478
14035 0.5188 12.478
14036 0.5188 12.478
14037 0.5188 12.478
14038 0.5188 12.478
14039 0.5188 12.478
14040 0.5188 12.478
14041 0.5188 12.478
14042 0.5188 12.478
14043 0.5188 12.478
14044 0.5188 12.478
14045 0.5188 12.478
14046 0.5188 12.478
14047 0.5188 12.478
14048 0.5188 12.478
14049 0.5188 12.478
14050 0.5188 12.478
14051 0.5188 12.478
14052 0.5188 12.478
14053 0.5188 12.478
14054 0.5188 12.478
14055 0.5188 12.478
14056 0.5188 12.478
14057 0.5188 12.478
14058 0.5188 12.478
14059 0.5188 12.478
14060 0.5188 12.478
14061 0.5188 12.478
14062 0.5188 12.478
14063 0.5188 12.478
14064 0.5188 12.478
14065 0.5188 12.478
14066 0.5188 12.478
14067 0.5188 12.478
14068 0.5188 12.478
14069 0.5188 12.478
14070 0.5188 12.478
14071 0.5188 12.478
14072 0.5188 12.478
14073 0.5188 12.478
14074 0.5188 12.478
14075 0.5188 12.478
14076 0.5188 12.478
14077 0.5188 12.478
14078 0.5188 12.478
14079 0.5188 12.478
14080 0.5188 12.478
14081 0.5188 12.478
14082 0.5188 12.478
14083 0.5188 12.478
14084 0.5188 12.478
14085 0.5188 12.478
14086 0.5188 12.478
14087 0.5188 12.478
14088 0.5188 12.478
14089 0.5188 12.478
14090 0.5188 12.478
14091 0.5188 12.478
14092 0.5188 12.478
14093 0.5188 12.478
14094 0.5188 12.478
14095 0.5188 12.478
14096 0.5188 12.478
14097 0.5188 12.478
14098 0.5188 12.478
14099 0.5188 12.478
14100 0.5188 12.478
14101 0.5188 12.478
14102 0.5188 12.478
14103 0.5188 12.478
14104 0.5188 12.478
14105 0.5188 12.478
14106 0.5188 12.478
14107 0.5188 12.478
14108 0.5188 12.478
14109 0.5188 12.478
14110 0.5188 12.478
14111 0.5188 12.478
14112 0.5188 12.478
14113 0.5188 12.478
14114 0.5188 12.478
14115 0.5188 12.478
14116 0.5188 12.478
14117 0.5188 12.478
14118 0.5188 12.478
14119 0.5188 12.478
14120 0.5188 12.478
14121 0.5188 12.478
14122 0.5188 12.478
14123 0.5188 12.478
14124 0.5188 12.478
14125 0.5188 12.478
14126 0.5188 12.478
14127 0.5188 12.478
14128 0.5188 12.478
14129 0.5188 12.478
14130 0.5188 12.478
14131 0.5188 12.478
14132 0.5188 12.478
14133 0.5188 12.478
14134 0.5188 12.478
14135 0.5188 12.478
14136 0.5188 12.478
14137 0.5188 12.478
14138 0.5188 12.478
14139 0.5188 12.478
14140 0.5188 12.478
14141 0.5188 12.478
14142 0.5188 12.478
14143 0.5188 12.478
14144 0.5188 12.478
14145 0.5188 12.478
14146 0.5188 12.478
14147 0.5188 12.478
14148 0.5188 12.478
14149 0.5188 12.478
14150 0.5188 12.478
14151 0.5188 12.478
14152 0.5188 12.478
14153 0.5188 12.478
14154 0.5188 12.478
14155 0.5188 12.478
14156 0.5188 12.478
14157 0.5188 12.478
14158 0.5188 12.478
14159 0.5188 12.478
14160 0.5188 12.478
14161 0.5188 12.478
14162 0.5188 12.478
14163 0.5188 12.478
14164 0.5188 12.478
14165 0.5188 12.478
14166 0.5188 12.478
14167 0.5188 12.478
14168 0.5188 12.478
14169 0.5188 12.478
14170 0.5188 12.478
14171 0.5188 12.478
14172 0.5188 12.478
14173 0.5188 12.478
14174 0.5188 12.478
14175 0.5188 12.478
14176 0.5188 12.478
14177 0.5188 12.478
14178 0.5188 12.478
14179 0.5188 12.478
14180 0.5188 12.478
14181 0.5188 12.478
14182 0.5188 12.478
14183 0.5188 12.478
14184 0.5188 12.478
14185 0.5188 12.478
14186 0.5188 12.478
14187 0.5188 12.478
14188 0.5188 12.478
14189 0.5188 12.478
14190 0.5188 12.478
14191 0.5188 12.478
14192 0.5188 12.478
14193 0.5188 12.478
14194 0.5188 12.478
14195 0.5188 12.478
14196 0.5188 12.478
14197 0.5188 12.478
14198 0.5188 12.478
14199 0.5188 12.478
14200 0.5188 12.478
14201 0.5188 12.478
14202 0.5188 12.478
14203 0.5188 12.478
14204 0.5188 12.478
14205 0.5188 12.478
14206 0.5188 12.478
14207 0.5188 12.478
14208 0.5188 12.478
14209 0.5188 12.478
14210 0.5188 12.478
14211 0.5188 12.478
14212 0.5188 12.478
14213 0.5188 12.478
14214 0.5188 12.478
14215 0.5188 12.478
14216 0.5188 12.478
14217 0.5188 12.478
14218 0.5188 12.478
14219 0.5188 12.478
14220 0.5188 12.478
14221 0.5188 12.478
14222 0.5188 12.478
14223 0.5188 12.478
14224 0.5188 12.478
14225 0.5188 12.478
14226 0.5188 12.478
14227 0.5188 12.478
14228 0.5188 12.478
14229 0.5188 12.478
14230 0.5188 12.478
14231 0.5188 12.478
14232 0.5188 12.478
14233 0.5188 12.478
14234 0.5188 12.478
14235 0.5188 12.478
14236 0.5188 12.478
14237 0.5188 12.478
14238 0.5188 12.478
14239 0.5188 12.478
14240 0.5188 12.478
14241 0.5188 12.478
14242 0.5188 12.478
14243 0.5188 12.478
14244 0.5188 12.478
14245 0.5188 12.478
14246 0.5188 12.478
14247 0.5188 12.478
14248 0.5188 12.478
14249 0.5188 12.478
14250 0.5188 12.478
14251 0.5188 12.478
14252 0.5188 12.478
14253 0.5188 12.478
14254 0.5188 12.478
14255 0.5188 12.478
14256 0.5188 12.478
14257 0.5188 12.478
14258 0.5188 12.478
14259 0.5188 12.478
14260 0.5188 12.478
14261 0.5188 12.478
14262 0.5188 12.478
14263 0.5188 12.478
14264 0.5188 12.478
14265 0.5188 12.478
14266 0.5188 12.478
14267 0.5188 12.478
14268 0.5188 12.478
14269 0.5188 12.478
14270 0.5188 12.478
14271 0.5188 12.478
14272 0.5188 12.478
14273 0.5188 12.478
14274 0.5188 12.478
14275 0.5188 12.478
14276 0.5188 12.478
14277 0.5188 12.478
14278 0.5188 12.478
14279 0.5188 12.478
14280 0.5188 12.478
14281 0.5188 12.478
14282 0.5188 12.478
14283 0.5188 12.478
14284 0.5188 12.478
14285 0.5188 12.478
14286 0.5188 12.478
14287 0.5188 12.478
14288 0.5188 12.478
14289 0.5188 12.478
14290 0.5188 12.478
14291 0.5188 12.478
14292 0.5188 12.478
14293 0.5188 12.478
14294 0.5188 12.478
14295 0.5188 12.478
14296 0.5188 12.478
14297 0.5188 12.478
14298 0.5188 12.478
14299 0.5188 12.478
14300 0.5188 12.478
14301 0.5188 12.478
14302 0.5188 12.478
14303 0.5188 12.478
14304 0.5188 12.478
14305 0.5188 12.478
14306 0.5188 12.478
14307 0.5188 12.478
14308 0.5188 12.478
14309 0.5188 12.478
14310 0.5188 12.478
14311 0.5188 12.478
14312 0.5188 12.478
14313 0.5188 12.478
14314 0.5188 12.478
14315 0.5188 12.478
14316 0.5188 12.478
14317 0.5188 12.478
14318 0.5188 12.478
14319 0.5188 12.478
14320 0.5188 12.478
14321 0.5188 12.478
14322 0.5188 12.478
14323 0.5188 12.478
