Point,Z,X,Y,,,,,,
B3_D18T2T,-0.704114,1.946496,0.522308,,,,,,
B3_D18T8B,-0.672467,1.956463,-0.522836,,,,,,
B3_D18T8T,-0.672915,1.957563,0.522271,,,,,,
B4_D1T2B,-1.955113,0.673737,-0.523764,,,,,,
B4_D1T2T,-1.953566,0.674749,0.521279,,,,,,
B4_D1T8B,-1.944123,0.704951,-0.523824,,,,,,
B4_D1T8T,-1.942441,0.705928,0.521199,,,,,,
B4_D2T2B,-1.940038,0.715775,-0.523596,,,,,,
B4_D2T2T,-1.938369,0.716745,0.521203,,,,,,
B4_D2T8B,-1.928128,0.746650,-0.523660,,,,,,
B4_D2T8T,-1.926394,0.747607,0.521119,,,,,,
B4_D3T2B,-1.924079,0.757786,-0.523722,,,,,,
B4_D3T2T,-1.922322,0.758654,0.521072,,,,,,
B4_D3T8B,-1.911574,0.788425,-0.523786,,,,,,
B4_D3T8T,-1.909802,0.789300,0.520988,,,,,,
B4_D4T2B,-1.907307,0.799286,-0.523974,,,,,,
B4_D4T2T,-1.905625,0.799865,0.520811,,,,,,
B4_D4T8B,-1.894237,0.829688,-0.524029,,,,,,
B4_D4T8T,-1.892539,0.830273,0.520736,,,,,,
B4_D5T2B,-1.889262,0.840366,-0.524879,,,,,,
B4_D5T2T,-1.887750,0.841084,0.520797,,,,,,
B4_D5T8B,-1.875552,0.870485,-0.524933,,,,,,
B4_D5T8T,-1.873887,0.871146,0.520719,,,,,,
B4_D6T2B,-1.870905,0.881308,-0.524062,,,,,,
B4_D6T2T,-1.869119,0.881985,0.520768,,,,,,
B4_D6T8B,-1.856457,0.911080,-0.524123,,,,,,
B4_D6T8T,-1.854658,0.911764,0.520687,,,,,,
B4_D7T2B,-1.851243,0.921558,-0.524055,,,,,,
B4_D7T2T,-1.849509,0.922035,0.520762,,,,,,
B4_D7T8B,-1.836197,0.951032,-0.524110,,,,,,
B4_D7T8T,-1.834389,0.951484,0.520688,,,,,,
B4_D8T2B,-1.830911,0.961669,-0.524055,,,,,,
B4_D8T2T,-1.829028,0.961839,0.520675,,,,,,
B4_D8T8B,-1.815315,0.990856,-0.524104,,,,,,
B4_D8T8T,-1.813384,0.991013,0.520606,,,,,,
B4_D9T2B,-1.809659,1.001013,-0.524083,,,,,,
B4_D9T2T,-1.807677,1.001212,0.520665,,,,,,
B4_D9T8B,-1.793344,1.029805,-0.524138,,,,,,
B4_D9T8T,-1.791359,1.030015,0.520591,,,,,,
B4_D10T2B,-1.787648,1.040000,-0.524091,,,,,,
B4_D10T2T,-1.785552,1.040546,0.520682,,,,,,
B4_D10T8B,-1.770682,1.068413,-0.524157,,,,,,
B4_D10T8T,-1.768548,1.068950,0.520596,,,,,,
B4_D11T2B,-1.764551,1.078557,-0.524184,,,,,,
B4_D11T2T,-1.762732,1.078915,0.520678,,,,,,
B4_D11T8B,-1.747049,1.106642,-0.524239,,,,,,
B4_D11T8T,-1.745126,1.106949,0.520604,,,,,,
B4_D12T2B,-1.740860,1.116259,-0.523797,,,,,,
B4_D12T2T,-1.738711,1.116529,0.520859,,,,,,
B4_D12T8B,-1.722689,1.143916,-0.523858,,,,,,
B4_D12T8T,-1.720514,1.144183,0.520778,,,,,,
B4_D13T2B,-1.716173,1.153836,-0.523951,,,,,,
B4_D13T2T,-1.714082,1.154105,0.520791,,,,,,
B4_D13T8B,-1.697406,1.181092,-0.524015,,,,,,
B4_D13T8T,-1.695351,1.181401,0.520708,,,,,,
B4_D14T2B,-1.690765,1.190581,-0.523958,,,,,,
B4_D14T2T,-1.688788,1.190790,0.520881,,,,,,
B4_D14T8B,-1.671480,1.217473,-0.524017,,,,,,
B4_D14T8T,-1.669476,1.217677,0.520802,,,,,,
B4_D15T2B,-1.664508,1.226936,-0.523873,,,,,,
B4_D15T2T,-1.662500,1.226825,0.520928,,,,,,
B4_D15T8B,-1.644614,1.253381,-0.523926,,,,,,
B4_D15T8T,-1.642599,1.253279,0.520855,,,,,,
B4_D16T2B,-1.637449,1.262654,-0.523936,,,,,,
B4_D16T2T,-1.635480,1.262637,0.520950,,,,,,
B4_D16T8B,-1.617015,1.288684,-0.523993,,,,,,
B4_D16T8T,-1.615056,1.288690,0.520874,,,,,,
B4_D17T2B,-1.609819,1.297736,-0.523941,,,,,,
B4_D17T2T,-1.608297,1.297475,0.520918,,,,,,
