## Bank 8
# id	l2	ef
9216 0.5188 12.478
9217 0.5188 12.478
9218 0.5188 12.478
9219 0.5188 12.478
9220 0.5188 12.478
9221 0.5188 12.478
9222 0.5188 12.478
9223 0.5188 12.478
9224 0.5188 12.478
9225 0.5188 12.478
9226 0.5188 12.478
9227 0.5188 12.478
9228 0.5188 12.478
9229 0.5188 12.478
9230 0.5188 12.478
9231 0.5188 12.478
9232 0.5188 12.478
9233 0.5188 12.478
9234 0.5188 12.478
9235 0.5188 12.478
9236 0.5188 12.478
9237 0.5188 12.478
9238 0.5188 12.478
9239 0.5188 12.478
9240 0.5188 12.478
9241 0.5188 12.478
9242 0.5188 12.478
9243 0.5188 12.478
9244 0.5188 12.478
9245 0.5188 12.478
9246 0.5188 12.478
9247 0.5188 12.478
9248 0.5188 12.478
9249 0.5188 12.478
9250 0.5188 12.478
9251 0.5188 12.478
9252 0.5188 12.478
9253 0.5188 12.478
9254 0.5188 12.478
9255 0.5188 12.478
9256 0.5188 12.478
9257 0.5188 12.478
9258 0.5188 12.478
9259 0.5188 12.478
9260 0.5188 12.478
9261 0.5188 12.478
9262 0.5188 12.478
9263 0.5188 12.478
9264 0.5188 12.478
9265 0.5188 12.478
9266 0.5188 12.478
9267 0.5188 12.478
9268 0.5188 12.478
9269 0.5188 12.478
9270 0.5188 12.478
9271 0.5188 12.478
9272 0.5188 12.478
9273 0.5188 12.478
9274 0.5188 12.478
9275 0.5188 12.478
9276 0.5188 12.478
9277 0.5188 12.478
9278 0.5188 12.478
9279 0.5188 12.478
9280 0.5188 12.478
9281 0.5188 12.478
9282 0.5188 12.478
9283 0.5188 12.478
9284 0.5188 12.478
9285 0.5188 12.478
9286 0.5188 12.478
9287 0.5188 12.478
9288 0.5188 12.478
9289 0.5188 12.478
9290 0.5188 12.478
9291 0.5188 12.478
9292 0.5188 12.478
9293 0.5188 12.478
9294 0.5188 12.478
9295 0.5188 12.478
9296 0.5188 12.478
9297 0.5188 12.478
9298 0.5188 12.478
9299 0.5188 12.478
9300 0.5188 12.478
9301 0.5188 12.478
9302 0.5188 12.478
9303 0.5188 12.478
9304 0.5188 12.478
9305 0.5188 12.478
9306 0.5188 12.478
9307 0.5188 12.478
9308 0.5188 12.478
9309 0.5188 12.478
9310 0.5188 12.478
9311 0.5188 12.478
9312 0.5188 12.478
9313 0.5188 12.478
9314 0.5188 12.478
9315 0.5188 12.478
9316 0.5188 12.478
9317 0.5188 12.478
9318 0.5188 12.478
9319 0.5188 12.478
9320 0.5188 12.478
9321 0.5188 12.478
9322 0.5188 12.478
9323 0.5188 12.478
9324 0.5188 12.478
9325 0.5188 12.478
9326 0.5188 12.478
9327 0.5188 12.478
9328 0.5188 12.478
9329 0.5188 12.478
9330 0.5188 12.478
9331 0.5188 12.478
9332 0.5188 12.478
9333 0.5188 12.478
9334 0.5188 12.478
9335 0.5188 12.478
9336 0.5188 12.478
9337 0.5188 12.478
9338 0.5188 12.478
9339 0.5188 12.478
9340 0.5188 12.478
9341 0.5188 12.478
9342 0.5188 12.478
9343 0.5188 12.478
9344 0.5188 12.478
9345 0.5188 12.478
9346 0.5188 12.478
9347 0.5188 12.478
9348 0.5188 12.478
9349 0.5188 12.478
9350 0.5188 12.478
9351 0.5188 12.478
9352 0.5188 12.478
9353 0.5188 12.478
9354 0.5188 12.478
9355 0.5188 12.478
9356 0.5188 12.478
9357 0.5188 12.478
9358 0.5188 12.478
9359 0.5188 12.478
9360 0.5188 12.478
9361 0.5188 12.478
9362 0.5188 12.478
9363 0.5188 12.478
9364 0.5188 12.478
9365 0.5188 12.478
9366 0.5188 12.478
9367 0.5188 12.478
9368 0.5188 12.478
9369 0.5188 12.478
9370 0.5188 12.478
9371 0.5188 12.478
9372 0.5188 12.478
9373 0.5188 12.478
9374 0.5188 12.478
9375 0.5188 12.478
9376 0.5188 12.478
9377 0.5188 12.478
9378 0.5188 12.478
9379 0.5188 12.478
9380 0.5188 12.478
9381 0.5188 12.478
9382 0.5188 12.478
9383 0.5188 12.478
9384 0.5188 12.478
9385 0.5188 12.478
9386 0.5188 12.478
9387 0.5188 12.478
9388 0.5188 12.478
9389 0.5188 12.478
9390 0.5188 12.478
9391 0.5188 12.478
9392 0.5188 12.478
9393 0.5188 12.478
9394 0.5188 12.478
9395 0.5188 12.478
9396 0.5188 12.478
9397 0.5188 12.478
9398 0.5188 12.478
9399 0.5188 12.478
9400 0.5188 12.478
9401 0.5188 12.478
9402 0.5188 12.478
9403 0.5188 12.478
9404 0.5188 12.478
9405 0.5188 12.478
9406 0.5188 12.478
9407 0.5188 12.478
9408 0.5188 12.478
9409 0.5188 12.478
9410 0.5188 12.478
9411 0.5188 12.478
9412 0.5188 12.478
9413 0.5188 12.478
9414 0.5188 12.478
9415 0.5188 12.478
9416 0.5188 12.478
9417 0.5188 12.478
9418 0.5188 12.478
9419 0.5188 12.478
9420 0.5188 12.478
9421 0.5188 12.478
9422 0.5188 12.478
9423 0.5188 12.478
9424 0.5188 12.478
9425 0.5188 12.478
9426 0.5188 12.478
9427 0.5188 12.478
9428 0.5188 12.478
9429 0.5188 12.478
9430 0.5188 12.478
9431 0.5188 12.478
9432 0.5188 12.478
9433 0.5188 12.478
9434 0.5188 12.478
9435 0.5188 12.478
9436 0.5188 12.478
9437 0.5188 12.478
9438 0.5188 12.478
