## Bank 20
# id	l2	ef
25600 0.5188 12.478
25601 0.5188 12.478
25602 0.5188 12.478
25603 0.5188 12.478
25604 0.5188 12.478
25605 0.5188 12.478
25606 0.5188 12.478
25607 0.5188 12.478
25608 0.5188 12.478
25609 0.5188 12.478
25610 0.5188 12.478
25611 0.5188 12.478
25612 0.5188 12.478
25613 0.5188 12.478
25614 0.5188 12.478
25615 0.5188 12.478
25616 0.5188 12.478
25617 0.5188 12.478
25618 0.5188 12.478
25619 0.5188 12.478
25620 0.5188 12.478
25621 0.5188 12.478
25622 0.5188 12.478
25623 0.5188 12.478
25624 0.5188 12.478
25625 0.5188 12.478
25626 0.5188 12.478
25627 0.5188 12.478
25628 0.5188 12.478
25629 0.5188 12.478
25630 0.5188 12.478
25631 0.5188 12.478
25632 0.5188 12.478
25633 0.5188 12.478
25634 0.5188 12.478
25635 0.5188 12.478
25636 0.5188 12.478
25637 0.5188 12.478
25638 0.5188 12.478
25639 0.5188 12.478
25640 0.5188 12.478
25641 0.5188 12.478
25642 0.5188 12.478
25643 0.5188 12.478
25644 0.5188 12.478
25645 0.5188 12.478
25646 0.5188 12.478
25647 0.5188 12.478
25648 0.5188 12.478
25649 0.5188 12.478
25650 0.5188 12.478
25651 0.5188 12.478
25652 0.5188 12.478
25653 0.5188 12.478
25654 0.5188 12.478
25655 0.5188 12.478
25656 0.5188 12.478
25657 0.5188 12.478
25658 0.5188 12.478
25659 0.5188 12.478
25660 0.5188 12.478
25661 0.5188 12.478
25662 0.5188 12.478
25663 0.5188 12.478
25664 0.5188 12.478
25665 0.5188 12.478
25666 0.5188 12.478
25667 0.5188 12.478
25668 0.5188 12.478
25669 0.5188 12.478
25670 0.5188 12.478
25671 0.5188 12.478
25672 0.5188 12.478
25673 0.5188 12.478
25674 0.5188 12.478
25675 0.5188 12.478
25676 0.5188 12.478
25677 0.5188 12.478
25678 0.5188 12.478
25679 0.5188 12.478
25680 0.5188 12.478
25681 0.5188 12.478
25682 0.5188 12.478
25683 0.5188 12.478
25684 0.5188 12.478
25685 0.5188 12.478
25686 0.5188 12.478
25687 0.5188 12.478
25688 0.5188 12.478
25689 0.5188 12.478
25690 0.5188 12.478
25691 0.5188 12.478
25692 0.5188 12.478
25693 0.5188 12.478
25694 0.5188 12.478
25695 0.5188 12.478
25696 0.5188 12.478
25697 0.5188 12.478
25698 0.5188 12.478
25699 0.5188 12.478
25700 0.5188 12.478
25701 0.5188 12.478
25702 0.5188 12.478
25703 0.5188 12.478
25704 0.5188 12.478
25705 0.5188 12.478
25706 0.5188 12.478
25707 0.5188 12.478
25708 0.5188 12.478
25709 0.5188 12.478
25710 0.5188 12.478
25711 0.5188 12.478
25712 0.5188 12.478
25713 0.5188 12.478
25714 0.5188 12.478
25715 0.5188 12.478
25716 0.5188 12.478
25717 0.5188 12.478
25718 0.5188 12.478
25719 0.5188 12.478
25720 0.5188 12.478
25721 0.5188 12.478
25722 0.5188 12.478
25723 0.5188 12.478
25724 0.5188 12.478
25725 0.5188 12.478
25726 0.5188 12.478
25727 0.5188 12.478
25728 0.5188 12.478
25729 0.5188 12.478
25730 0.5188 12.478
25731 0.5188 12.478
25732 0.5188 12.478
25733 0.5188 12.478
25734 0.5188 12.478
25735 0.5188 12.478
25736 0.5188 12.478
25737 0.5188 12.478
25738 0.5188 12.478
25739 0.5188 12.478
25740 0.5188 12.478
25741 0.5188 12.478
25742 0.5188 12.478
25743 0.5188 12.478
25744 0.5188 12.478
25745 0.5188 12.478
25746 0.5188 12.478
25747 0.5188 12.478
25748 0.5188 12.478
25749 0.5188 12.478
25750 0.5188 12.478
25751 0.5188 12.478
25752 0.5188 12.478
25753 0.5188 12.478
25754 0.5188 12.478
25755 0.5188 12.478
25756 0.5188 12.478
25757 0.5188 12.478
25758 0.5188 12.478
25759 0.5188 12.478
25760 0.5188 12.478
25761 0.5188 12.478
25762 0.5188 12.478
25763 0.5188 12.478
25764 0.5188 12.478
25765 0.5188 12.478
25766 0.5188 12.478
25767 0.5188 12.478
25768 0.5188 12.478
25769 0.5188 12.478
25770 0.5188 12.478
25771 0.5188 12.478
25772 0.5188 12.478
25773 0.5188 12.478
25774 0.5188 12.478
25775 0.5188 12.478
25776 0.5188 12.478
25777 0.5188 12.478
25778 0.5188 12.478
25779 0.5188 12.478
25780 0.5188 12.478
25781 0.5188 12.478
25782 0.5188 12.478
25783 0.5188 12.478
25784 0.5188 12.478
25785 0.5188 12.478
25786 0.5188 12.478
25787 0.5188 12.478
25788 0.5188 12.478
25789 0.5188 12.478
25790 0.5188 12.478
25791 0.5188 12.478
25792 0.5188 12.478
25793 0.5188 12.478
25794 0.5188 12.478
25795 0.5188 12.478
25796 0.5188 12.478
25797 0.5188 12.478
25798 0.5188 12.478
25799 0.5188 12.478
25800 0.5188 12.478
25801 0.5188 12.478
25802 0.5188 12.478
25803 0.5188 12.478
25804 0.5188 12.478
25805 0.5188 12.478
25806 0.5188 12.478
25807 0.5188 12.478
25808 0.5188 12.478
25809 0.5188 12.478
25810 0.5188 12.478
25811 0.5188 12.478
25812 0.5188 12.478
25813 0.5188 12.478
25814 0.5188 12.478
25815 0.5188 12.478
25816 0.5188 12.478
25817 0.5188 12.478
25818 0.5188 12.478
25819 0.5188 12.478
25820 0.5188 12.478
25821 0.5188 12.478
25822 0.5188 12.478
25823 0.5188 12.478
25824 0.5188 12.478
25825 0.5188 12.478
25826 0.5188 12.478
25827 0.5188 12.478
25828 0.5188 12.478
25829 0.5188 12.478
25830 0.5188 12.478
25831 0.5188 12.478
25832 0.5188 12.478
25833 0.5188 12.478
25834 0.5188 12.478
25835 0.5188 12.478
25836 0.5188 12.478
25837 0.5188 12.478
25838 0.5188 12.478
25839 0.5188 12.478
25840 0.5188 12.478
25841 0.5188 12.478
25842 0.5188 12.478
25843 0.5188 12.478
25844 0.5188 12.478
25845 0.5188 12.478
25846 0.5188 12.478
25847 0.5188 12.478
25848 0.5188 12.478
25849 0.5188 12.478
25850 0.5188 12.478
25851 0.5188 12.478
25852 0.5188 12.478
25853 0.5188 12.478
25854 0.5188 12.478
25855 0.5188 12.478
25856 0.5188 12.478
25857 0.5188 12.478
25858 0.5188 12.478
25859 0.5188 12.478
25860 0.5188 12.478
25861 0.5188 12.478
25862 0.5188 12.478
25863 0.5188 12.478
25864 0.5188 12.478
25865 0.5188 12.478
25866 0.5188 12.478
25867 0.5188 12.478
25868 0.5188 12.478
25869 0.5188 12.478
25870 0.5188 12.478
25871 0.5188 12.478
25872 0.5188 12.478
25873 0.5188 12.478
25874 0.5188 12.478
25875 0.5188 12.478
25876 0.5188 12.478
25877 0.5188 12.478
25878 0.5188 12.478
25879 0.5188 12.478
25880 0.5188 12.478
25881 0.5188 12.478
25882 0.5188 12.478
25883 0.5188 12.478
25884 0.5188 12.478
25885 0.5188 12.478
25886 0.5188 12.478
25887 0.5188 12.478
25888 0.5188 12.478
25889 0.5188 12.478
25890 0.5188 12.478
25891 0.5188 12.478
25892 0.5188 12.478
25893 0.5188 12.478
25894 0.5188 12.478
25895 0.5188 12.478
25896 0.5188 12.478
25897 0.5188 12.478
25898 0.5188 12.478
25899 0.5188 12.478
25900 0.5188 12.478
25901 0.5188 12.478
25902 0.5188 12.478
25903 0.5188 12.478
25904 0.5188 12.478
25905 0.5188 12.478
25906 0.5188 12.478
25907 0.5188 12.478
25908 0.5188 12.478
25909 0.5188 12.478
25910 0.5188 12.478
25911 0.5188 12.478
25912 0.5188 12.478
25913 0.5188 12.478
25914 0.5188 12.478
25915 0.5188 12.478
25916 0.5188 12.478
25917 0.5188 12.478
25918 0.5188 12.478
25919 0.5188 12.478
25920 0.5188 12.478
